doc_id,date,published_year,published_month,source,fraud_tags,fraud_signals,title,body_1,body_short,url,body_length
0313b7fc218821,2026-04-23,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Alaskans Report Record-Breaking Financial Losses from Cyber-Enabled Crimes,The FBI’s Internet Crime Complaint Center (IC3) released its 2025 Internet Crime Report and accompanying state reports.,The FBI’s Internet Crime Complaint Center (IC3) released its 2025 Internet Crime Report and accompanying state reports.,https://www.fbi.gov/contact-us/field-offices/anchorage/news/alaskans-report-record-breaking-financial-losses-from-cyber-enabled-crimes,119
778bedf17717ff,2026-04-23,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",FBI Norfolk to Host Virtual Information Session for Victim Specialist Position,"FBI Norfolk will host a virtual information session for the Victim Specialist position on Wednesday, May 27, 2026, at 11 a.m.","FBI Norfolk will host a virtual information session for the Victim Specialist position on Wednesday, May 27, 2026, at 11 a.m.",https://www.fbi.gov/contact-us/field-offices/norfolk/news/fbi-norfolk-to-host-virtual-information-session-for-victim-specialist-position,125
67a4fe109732b9,2026-04-22,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}","Open Letter to Parents, Guardians, and Caregivers","Over the course of the last few years, the FBI has observed a concerning increase in activity by online actors involved in predatory activity. These predators target children across the United States, including in Wisconsin.","Over the course of the last few years, the FBI has observed a concerning increase in activity by online actors involved in predatory activity. These predators target children across the United States, including in Wisconsin.",https://www.fbi.gov/contact-us/field-offices/milwaukee/news/open-letter-to-parents-guardians-and-caregivers,224
1b2bd2174ca254,2026-04-22,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Justice Department Seeks to Forfeit Beverly Hills Mansion Purchased with Proceeds of Scheme to Defraud U.S. Military and Bribe an Iraqi Official,The Justice Department filed a civil forfeiture complaint in U.S. District Court seeking the forfeiture of a mansion located in Beverly Hills.,The Justice Department filed a civil forfeiture complaint in U.S. District Court seeking the forfeiture of a mansion located in Beverly Hills.,https://www.fbi.gov/contact-us/field-offices/washingtondc/news/justice-department-seeks-to-forfeit-beverly-hills-mansion-purchased-with-proceeds-of-scheme-to-defraud-us-military-and-bribe-an-iraqi-official,142
7cc6a863b523e1,2026-04-22,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Texas Woman Sentenced for Fentanyl Distribution in Southern New Mexico,"Mayra Mendivil, 37, of Texas has been sentenced for her role in a drug trafficking organization that distributed fentanyl into southern New Mexico.","Mayra Mendivil, 37, of Texas has been sentenced for her role in a drug trafficking organization that distributed fentanyl into southern New Mexico.",https://www.fbi.gov/contact-us/field-offices/albuquerque/news/texas-woman-sentenced-for-fentanyl-distribution-in-southern-new-mexico,147
b55d068f0118cf,2026-04-22,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Operation Spring Cleaning: Over 40 Arrests in Coordinated Multi-Agency Crackdown on Violent Crimes in North Alabama,"On April 15 and 16, 2026, more than 50 federal, state, and local law enforcement officers collaborated to arrest 40 individuals involved in violent crimes.","On April 15 and 16, 2026, more than 50 federal, state, and local law enforcement officers collaborated to arrest 40 individuals involved in violent crimes.",https://www.fbi.gov/contact-us/field-offices/birmingham/news/operation-spring-cleaning-over-40-arrests-in-coordinated-multi-agency-crackdown-on-violent-crimes-in-north-alabama,155
49df1ffa4ff96f,2026-04-22,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}","Columbia, Missouri Doctor Arrested, Accused of Health Care Fraud, Illegally Prescribing Drugs","A medical doctor and owner of an urgent care clinic in Columbia, Missouri, was arrested on an indictment that accuses him of defrauding Medicare and Medicaid.","A medical doctor and owner of an urgent care clinic in Columbia, Missouri, was arrested on an indictment that accuses him of defrauding Medicare and Medicaid.",https://www.fbi.gov/contact-us/field-offices/stlouis/news/columbia-missouri-doctor-arrested-accused-of-health-care-fraud-illegally-prescribing-drugs,158
bd4d16539c3a77,2026-04-21,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}","Federal Grand Jury Charges Southern Poverty Law Center for Wire Fraud, False Statements, and Conspiracy to Commit Money Laundering","A grand jury in Montgomery, Alabama, returned an indictment charging the Southern Poverty Law Center with 11 counts of wire fraud, false statements to a federally insured bank, and conspiracy to commit concealment money laundering.","A grand jury in Montgomery, Alabama, returned an indictment charging the Southern Poverty Law Center with 11 counts of wire fraud, false statements to a federally insured bank, and conspiracy to commit concealment money laundering.",https://www.fbi.gov/news/press-releases/federal-grand-jury-charges-southern-poverty-law-center-for-wire-fraud-false-statements-and-conspiracy-to-commit-money-laundering,231
c84390a1f8a50b,2026-04-21,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Orleans Parish Man Sentenced for Being a Felon in Possession of a Firearm and Ammunition,"Daniel Hankton, age 34, was sentenced after previously pleading guilty to being a felon in possession of a firearm and ammunition.","Daniel Hankton, age 34, was sentenced after previously pleading guilty to being a felon in possession of a firearm and ammunition.",https://www.fbi.gov/contact-us/field-offices/neworleans/news/orleans-parish-man-sentenced-for-being-a-felon-in-possession-of-a-firearm-and-ammunition,130
6b7f2ab077d919,2026-04-21,2026,4,FBI - National,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Leader of Chicago Street Gang Sentenced to Life in Prison for Participating in Racketeering Conspiracy Involving Multiple Murders,A leader of the Four Corner Hustlers street gang in Chicago has been sentenced to life in federal prison for participating in a criminal organization that terrorized the West Side of Chicago.,A leader of the Four Corner Hustlers street gang in Chicago has been sentenced to life in federal prison for participating in a criminal organization that terrorized the West Side of Chicago.,https://www.fbi.gov/contact-us/field-offices/chicago/news/leader-of-chicago-street-gang-sentenced-to-life-in-prison-for-participating-in-racketeering-conspiracy-involving-multiple-murders,191
